algorithm,folder,model,label,level,run_id,out_dir
HIPC,ideal_1_0,ideal,1.0,,hipc_ideal_1_0,runs/known_visit_core_500/raw/hipc/ideal_1_0
HIPC,bernoulli_drop_0_05,bernoulli,drop_0.05,0.05,hipc_bernoulli_drop_0_05,runs/known_visit_core_500/raw/hipc/bernoulli_drop_0_05
HIPC,bernoulli_drop_0_1,bernoulli,drop_0.1,0.1,hipc_bernoulli_drop_0_1,runs/known_visit_core_500/raw/hipc/bernoulli_drop_0_1
HIPC,bernoulli_drop_0_2,bernoulli,drop_0.2,0.2,hipc_bernoulli_drop_0_2,runs/known_visit_core_500/raw/hipc/bernoulli_drop_0_2
HIPC,bernoulli_drop_0_3,bernoulli,drop_0.3,0.3,hipc_bernoulli_drop_0_3,runs/known_visit_core_500/raw/hipc/bernoulli_drop_0_3
HIPC,bernoulli_drop_0_4,bernoulli,drop_0.4,0.4,hipc_bernoulli_drop_0_4,runs/known_visit_core_500/raw/hipc/bernoulli_drop_0_4
HIPC,bernoulli_drop_0_5,bernoulli,drop_0.5,0.5,hipc_bernoulli_drop_0_5,runs/known_visit_core_500/raw/hipc/bernoulli_drop_0_5
HIPC,bernoulli_drop_0_6,bernoulli,drop_0.6,0.6,hipc_bernoulli_drop_0_6,runs/known_visit_core_500/raw/hipc/bernoulli_drop_0_6
HIPC,bernoulli_drop_0_7,bernoulli,drop_0.7,0.7,hipc_bernoulli_drop_0_7,runs/known_visit_core_500/raw/hipc/bernoulli_drop_0_7
HIPC,gilbert_elliot_pGG_0_3_pBB_0_7,gilbert_elliot,pGG_0.3_pBB_0.7,0.3,hipc_gilbert_elliot_pGG_0_3_pBB_0_7,runs/known_visit_core_500/raw/hipc/gilbert_elliot_pGG_0_3_pBB_0_7
HIPC,gilbert_elliot_pGG_0_4_pBB_0_6,gilbert_elliot,pGG_0.4_pBB_0.6,0.4,hipc_gilbert_elliot_pGG_0_4_pBB_0_6,runs/known_visit_core_500/raw/hipc/gilbert_elliot_pGG_0_4_pBB_0_6
HIPC,gilbert_elliot_pGG_0_5_pBB_0_5,gilbert_elliot,pGG_0.5_pBB_0.5,0.5,hipc_gilbert_elliot_pGG_0_5_pBB_0_5,runs/known_visit_core_500/raw/hipc/gilbert_elliot_pGG_0_5_pBB_0_5
HIPC,gilbert_elliot_pGG_0_6_pBB_0_4,gilbert_elliot,pGG_0.6_pBB_0.4,0.6,hipc_gilbert_elliot_pGG_0_6_pBB_0_4,runs/known_visit_core_500/raw/hipc/gilbert_elliot_pGG_0_6_pBB_0_4
HIPC,gilbert_elliot_pGG_0_7_pBB_0_3,gilbert_elliot,pGG_0.7_pBB_0.3,0.7,hipc_gilbert_elliot_pGG_0_7_pBB_0_3,runs/known_visit_core_500/raw/hipc/gilbert_elliot_pGG_0_7_pBB_0_3
HIPC,gilbert_elliot_pGG_0_8_pBB_0_2,gilbert_elliot,pGG_0.8_pBB_0.2,0.8,hipc_gilbert_elliot_pGG_0_8_pBB_0_2,runs/known_visit_core_500/raw/hipc/gilbert_elliot_pGG_0_8_pBB_0_2
HIPC,gilbert_elliot_pGG_0_9_pBB_0_1,gilbert_elliot,pGG_0.9_pBB_0.1,0.9,hipc_gilbert_elliot_pGG_0_9_pBB_0_1,runs/known_visit_core_500/raw/hipc/gilbert_elliot_pGG_0_9_pBB_0_1
HIPC,gilbert_elliot_pGG_0_95_pBB_0_05,gilbert_elliot,pGG_0.95_pBB_0.05,0.95,hipc_gilbert_elliot_pGG_0_95_pBB_0_05,runs/known_visit_core_500/raw/hipc/gilbert_elliot_pGG_0_95_pBB_0_05
HIPC,rayleigh_style_sens_neg32_58,rayleigh_style,sens_-32.58,-32.58,hipc_rayleigh_style_sens_neg32_58,runs/known_visit_core_500/raw/hipc/rayleigh_style_sens_neg32_58
HIPC,rayleigh_style_sens_neg37_79,rayleigh_style,sens_-37.79,-37.79,hipc_rayleigh_style_sens_neg37_79,runs/known_visit_core_500/raw/hipc/rayleigh_style_sens_neg37_79
HIPC,rayleigh_style_sens_neg42_16,rayleigh_style,sens_-42.16,-42.16,hipc_rayleigh_style_sens_neg42_16,runs/known_visit_core_500/raw/hipc/rayleigh_style_sens_neg42_16
HIPC,rayleigh_style_sens_neg46_04,rayleigh_style,sens_-46.04,-46.04,hipc_rayleigh_style_sens_neg46_04,runs/known_visit_core_500/raw/hipc/rayleigh_style_sens_neg46_04
HIPC,rayleigh_style_sens_neg49_17,rayleigh_style,sens_-49.17,-49.17,hipc_rayleigh_style_sens_neg49_17,runs/known_visit_core_500/raw/hipc/rayleigh_style_sens_neg49_17
HIPC,rayleigh_style_sens_neg52_15,rayleigh_style,sens_-52.15,-52.15,hipc_rayleigh_style_sens_neg52_15,runs/known_visit_core_500/raw/hipc/rayleigh_style_sens_neg52_15
HIPC,rayleigh_style_sens_neg56_04,rayleigh_style,sens_-56.04,-56.04,hipc_rayleigh_style_sens_neg56_04,runs/known_visit_core_500/raw/hipc/rayleigh_style_sens_neg56_04
HIPC,rayleigh_style_sens_neg59_4,rayleigh_style,sens_-59.4,-59.4,hipc_rayleigh_style_sens_neg59_4,runs/known_visit_core_500/raw/hipc/rayleigh_style_sens_neg59_4
DMCHBA,ideal_1_0,ideal,1.0,,dmchba_ideal_1_0,runs/known_visit_core_500/raw/dmchba/ideal_1_0
DMCHBA,bernoulli_drop_0_05,bernoulli,drop_0.05,0.05,dmchba_bernoulli_drop_0_05,runs/known_visit_core_500/raw/dmchba/bernoulli_drop_0_05
DMCHBA,bernoulli_drop_0_1,bernoulli,drop_0.1,0.1,dmchba_bernoulli_drop_0_1,runs/known_visit_core_500/raw/dmchba/bernoulli_drop_0_1
DMCHBA,bernoulli_drop_0_2,bernoulli,drop_0.2,0.2,dmchba_bernoulli_drop_0_2,runs/known_visit_core_500/raw/dmchba/bernoulli_drop_0_2
DMCHBA,bernoulli_drop_0_3,bernoulli,drop_0.3,0.3,dmchba_bernoulli_drop_0_3,runs/known_visit_core_500/raw/dmchba/bernoulli_drop_0_3
DMCHBA,bernoulli_drop_0_4,bernoulli,drop_0.4,0.4,dmchba_bernoulli_drop_0_4,runs/known_visit_core_500/raw/dmchba/bernoulli_drop_0_4
DMCHBA,bernoulli_drop_0_5,bernoulli,drop_0.5,0.5,dmchba_bernoulli_drop_0_5,runs/known_visit_core_500/raw/dmchba/bernoulli_drop_0_5
DMCHBA,bernoulli_drop_0_6,bernoulli,drop_0.6,0.6,dmchba_bernoulli_drop_0_6,runs/known_visit_core_500/raw/dmchba/bernoulli_drop_0_6
DMCHBA,bernoulli_drop_0_7,bernoulli,drop_0.7,0.7,dmchba_bernoulli_drop_0_7,runs/known_visit_core_500/raw/dmchba/bernoulli_drop_0_7
DMCHBA,gilbert_elliot_pGG_0_3_pBB_0_7,gilbert_elliot,pGG_0.3_pBB_0.7,0.3,dmchba_gilbert_elliot_pGG_0_3_pBB_0_7,runs/known_visit_core_500/raw/dmchba/gilbert_elliot_pGG_0_3_pBB_0_7
DMCHBA,gilbert_elliot_pGG_0_4_pBB_0_6,gilbert_elliot,pGG_0.4_pBB_0.6,0.4,dmchba_gilbert_elliot_pGG_0_4_pBB_0_6,runs/known_visit_core_500/raw/dmchba/gilbert_elliot_pGG_0_4_pBB_0_6
DMCHBA,gilbert_elliot_pGG_0_5_pBB_0_5,gilbert_elliot,pGG_0.5_pBB_0.5,0.5,dmchba_gilbert_elliot_pGG_0_5_pBB_0_5,runs/known_visit_core_500/raw/dmchba/gilbert_elliot_pGG_0_5_pBB_0_5
DMCHBA,gilbert_elliot_pGG_0_6_pBB_0_4,gilbert_elliot,pGG_0.6_pBB_0.4,0.6,dmchba_gilbert_elliot_pGG_0_6_pBB_0_4,runs/known_visit_core_500/raw/dmchba/gilbert_elliot_pGG_0_6_pBB_0_4
DMCHBA,gilbert_elliot_pGG_0_7_pBB_0_3,gilbert_elliot,pGG_0.7_pBB_0.3,0.7,dmchba_gilbert_elliot_pGG_0_7_pBB_0_3,runs/known_visit_core_500/raw/dmchba/gilbert_elliot_pGG_0_7_pBB_0_3
DMCHBA,gilbert_elliot_pGG_0_8_pBB_0_2,gilbert_elliot,pGG_0.8_pBB_0.2,0.8,dmchba_gilbert_elliot_pGG_0_8_pBB_0_2,runs/known_visit_core_500/raw/dmchba/gilbert_elliot_pGG_0_8_pBB_0_2
DMCHBA,gilbert_elliot_pGG_0_9_pBB_0_1,gilbert_elliot,pGG_0.9_pBB_0.1,0.9,dmchba_gilbert_elliot_pGG_0_9_pBB_0_1,runs/known_visit_core_500/raw/dmchba/gilbert_elliot_pGG_0_9_pBB_0_1
DMCHBA,gilbert_elliot_pGG_0_95_pBB_0_05,gilbert_elliot,pGG_0.95_pBB_0.05,0.95,dmchba_gilbert_elliot_pGG_0_95_pBB_0_05,runs/known_visit_core_500/raw/dmchba/gilbert_elliot_pGG_0_95_pBB_0_05
DMCHBA,rayleigh_style_sens_neg32_58,rayleigh_style,sens_-32.58,-32.58,dmchba_rayleigh_style_sens_neg32_58,runs/known_visit_core_500/raw/dmchba/rayleigh_style_sens_neg32_58
DMCHBA,rayleigh_style_sens_neg37_79,rayleigh_style,sens_-37.79,-37.79,dmchba_rayleigh_style_sens_neg37_79,runs/known_visit_core_500/raw/dmchba/rayleigh_style_sens_neg37_79
DMCHBA,rayleigh_style_sens_neg42_16,rayleigh_style,sens_-42.16,-42.16,dmchba_rayleigh_style_sens_neg42_16,runs/known_visit_core_500/raw/dmchba/rayleigh_style_sens_neg42_16
DMCHBA,rayleigh_style_sens_neg46_04,rayleigh_style,sens_-46.04,-46.04,dmchba_rayleigh_style_sens_neg46_04,runs/known_visit_core_500/raw/dmchba/rayleigh_style_sens_neg46_04
DMCHBA,rayleigh_style_sens_neg49_17,rayleigh_style,sens_-49.17,-49.17,dmchba_rayleigh_style_sens_neg49_17,runs/known_visit_core_500/raw/dmchba/rayleigh_style_sens_neg49_17
DMCHBA,rayleigh_style_sens_neg52_15,rayleigh_style,sens_-52.15,-52.15,dmchba_rayleigh_style_sens_neg52_15,runs/known_visit_core_500/raw/dmchba/rayleigh_style_sens_neg52_15
DMCHBA,rayleigh_style_sens_neg56_04,rayleigh_style,sens_-56.04,-56.04,dmchba_rayleigh_style_sens_neg56_04,runs/known_visit_core_500/raw/dmchba/rayleigh_style_sens_neg56_04
DMCHBA,rayleigh_style_sens_neg59_4,rayleigh_style,sens_-59.4,-59.4,dmchba_rayleigh_style_sens_neg59_4,runs/known_visit_core_500/raw/dmchba/rayleigh_style_sens_neg59_4
DGA,ideal_1_0,ideal,1.0,,dga_ideal_1_0,runs/known_visit_core_500/raw/dga/ideal_1_0
DGA,bernoulli_drop_0_05,bernoulli,drop_0.05,0.05,dga_bernoulli_drop_0_05,runs/known_visit_core_500/raw/dga/bernoulli_drop_0_05
DGA,bernoulli_drop_0_1,bernoulli,drop_0.1,0.1,dga_bernoulli_drop_0_1,runs/known_visit_core_500/raw/dga/bernoulli_drop_0_1
DGA,bernoulli_drop_0_2,bernoulli,drop_0.2,0.2,dga_bernoulli_drop_0_2,runs/known_visit_core_500/raw/dga/bernoulli_drop_0_2
DGA,bernoulli_drop_0_3,bernoulli,drop_0.3,0.3,dga_bernoulli_drop_0_3,runs/known_visit_core_500/raw/dga/bernoulli_drop_0_3
DGA,bernoulli_drop_0_4,bernoulli,drop_0.4,0.4,dga_bernoulli_drop_0_4,runs/known_visit_core_500/raw/dga/bernoulli_drop_0_4
DGA,bernoulli_drop_0_5,bernoulli,drop_0.5,0.5,dga_bernoulli_drop_0_5,runs/known_visit_core_500/raw/dga/bernoulli_drop_0_5
DGA,bernoulli_drop_0_6,bernoulli,drop_0.6,0.6,dga_bernoulli_drop_0_6,runs/known_visit_core_500/raw/dga/bernoulli_drop_0_6
DGA,bernoulli_drop_0_7,bernoulli,drop_0.7,0.7,dga_bernoulli_drop_0_7,runs/known_visit_core_500/raw/dga/bernoulli_drop_0_7
DGA,gilbert_elliot_pGG_0_3_pBB_0_7,gilbert_elliot,pGG_0.3_pBB_0.7,0.3,dga_gilbert_elliot_pGG_0_3_pBB_0_7,runs/known_visit_core_500/raw/dga/gilbert_elliot_pGG_0_3_pBB_0_7
DGA,gilbert_elliot_pGG_0_4_pBB_0_6,gilbert_elliot,pGG_0.4_pBB_0.6,0.4,dga_gilbert_elliot_pGG_0_4_pBB_0_6,runs/known_visit_core_500/raw/dga/gilbert_elliot_pGG_0_4_pBB_0_6
DGA,gilbert_elliot_pGG_0_5_pBB_0_5,gilbert_elliot,pGG_0.5_pBB_0.5,0.5,dga_gilbert_elliot_pGG_0_5_pBB_0_5,runs/known_visit_core_500/raw/dga/gilbert_elliot_pGG_0_5_pBB_0_5
DGA,gilbert_elliot_pGG_0_6_pBB_0_4,gilbert_elliot,pGG_0.6_pBB_0.4,0.6,dga_gilbert_elliot_pGG_0_6_pBB_0_4,runs/known_visit_core_500/raw/dga/gilbert_elliot_pGG_0_6_pBB_0_4
DGA,gilbert_elliot_pGG_0_7_pBB_0_3,gilbert_elliot,pGG_0.7_pBB_0.3,0.7,dga_gilbert_elliot_pGG_0_7_pBB_0_3,runs/known_visit_core_500/raw/dga/gilbert_elliot_pGG_0_7_pBB_0_3
DGA,gilbert_elliot_pGG_0_8_pBB_0_2,gilbert_elliot,pGG_0.8_pBB_0.2,0.8,dga_gilbert_elliot_pGG_0_8_pBB_0_2,runs/known_visit_core_500/raw/dga/gilbert_elliot_pGG_0_8_pBB_0_2
DGA,gilbert_elliot_pGG_0_9_pBB_0_1,gilbert_elliot,pGG_0.9_pBB_0.1,0.9,dga_gilbert_elliot_pGG_0_9_pBB_0_1,runs/known_visit_core_500/raw/dga/gilbert_elliot_pGG_0_9_pBB_0_1
DGA,gilbert_elliot_pGG_0_95_pBB_0_05,gilbert_elliot,pGG_0.95_pBB_0.05,0.95,dga_gilbert_elliot_pGG_0_95_pBB_0_05,runs/known_visit_core_500/raw/dga/gilbert_elliot_pGG_0_95_pBB_0_05
DGA,rayleigh_style_sens_neg32_58,rayleigh_style,sens_-32.58,-32.58,dga_rayleigh_style_sens_neg32_58,runs/known_visit_core_500/raw/dga/rayleigh_style_sens_neg32_58
DGA,rayleigh_style_sens_neg37_79,rayleigh_style,sens_-37.79,-37.79,dga_rayleigh_style_sens_neg37_79,runs/known_visit_core_500/raw/dga/rayleigh_style_sens_neg37_79
DGA,rayleigh_style_sens_neg42_16,rayleigh_style,sens_-42.16,-42.16,dga_rayleigh_style_sens_neg42_16,runs/known_visit_core_500/raw/dga/rayleigh_style_sens_neg42_16
DGA,rayleigh_style_sens_neg46_04,rayleigh_style,sens_-46.04,-46.04,dga_rayleigh_style_sens_neg46_04,runs/known_visit_core_500/raw/dga/rayleigh_style_sens_neg46_04
DGA,rayleigh_style_sens_neg49_17,rayleigh_style,sens_-49.17,-49.17,dga_rayleigh_style_sens_neg49_17,runs/known_visit_core_500/raw/dga/rayleigh_style_sens_neg49_17
DGA,rayleigh_style_sens_neg52_15,rayleigh_style,sens_-52.15,-52.15,dga_rayleigh_style_sens_neg52_15,runs/known_visit_core_500/raw/dga/rayleigh_style_sens_neg52_15
DGA,rayleigh_style_sens_neg56_04,rayleigh_style,sens_-56.04,-56.04,dga_rayleigh_style_sens_neg56_04,runs/known_visit_core_500/raw/dga/rayleigh_style_sens_neg56_04
DGA,rayleigh_style_sens_neg59_4,rayleigh_style,sens_-59.4,-59.4,dga_rayleigh_style_sens_neg59_4,runs/known_visit_core_500/raw/dga/rayleigh_style_sens_neg59_4
